query,doc_id,relevance
fairy tales children,Doc_9,1
fairy tales children,Doc_20,1
fairy tales children,Doc_2,1
fairy tales children,Doc_21,1
fairy tales children,Doc_40,0
fairy tales children,Doc_49,0
fairy tales children,Doc_43,0
fairy tales children,Doc_11,1
fairy tales children,Doc_26,0
fairy tales children,Doc_3,1
fairy tales children,Doc_7,0
fairy tales children,Doc_42,0
fairy tales children,Doc_28,0
fairy tales children,Doc_35,0
fairy tales children,Doc_5,1
fairy tales children,Doc_22,0
fairy tales children,Doc_29,0
fairy tales children,Doc_24,0
fairy tales children,Doc_47,0
fairy tales children,Doc_32,0
fairy tales children,Doc_8,0
sea ocean voyage,Doc_2,1
sea ocean voyage,Doc_7,1
sea ocean voyage,Doc_41,1
sea ocean voyage,Doc_26,1
sea ocean voyage,Doc_22,1
sea ocean voyage,Doc_43,0
sea ocean voyage,Doc_49,0
sea ocean voyage,Doc_28,0
sea ocean voyage,Doc_23,0
sea ocean voyage,Doc_24,0
sea ocean voyage,Doc_38,0
sea ocean voyage,Doc_47,0
sea ocean voyage,Doc_21,0
sea ocean voyage,Doc_20,0
sea ocean voyage,Doc_5,0
sea ocean voyage,Doc_39,0
sea ocean voyage,Doc_10,0
sea ocean voyage,Doc_30,0
sea ocean voyage,Doc_8,0
sea ocean voyage,Doc_32,0
sea ocean voyage,Doc_1,0
revolution society,Doc_35,1
revolution society,Doc_21,0
revolution society,Doc_27,1
revolution society,Doc_5,1
revolution society,Doc_33,0
revolution society,Doc_42,0
revolution society,Doc_31,0
revolution society,Doc_43,0
revolution society,Doc_20,0
revolution society,Doc_12,0
revolution society,Doc_15,0
revolution society,Doc_10,0
revolution society,Doc_23,0
revolution society,Doc_36,0
revolution society,Doc_26,0
revolution society,Doc_38,0
revolution society,Doc_34,0
revolution society,Doc_46,0
revolution society,Doc_3,0
revolution society,Doc_7,0
